Pathogen,table_id,Food_category,Year,Serotype,Burden,Trajectory,Year_range,No_of_illnesses,Burden_sort_order,Trajectory_sort_order,Master_sort_order
Salmonella,Chicken_Braenderup_2017-2021,Chicken,2021,Braenderup,Moderate,Increased,2017-2021,80,2,1,4
Salmonella,Chicken_Heidelberg_2012-2016,Chicken,2021,Heidelberg,Low,Decreased,2012-2016,880,3,3,9
Salmonella,Chicken_Heidelberg_2017-2021,Chicken,2021,Heidelberg,Low,Decreased,2017-2021,63,3,3,9
Salmonella,"Chicken_I 4,[5],12:i:-_2012-2016",Chicken,2021,"I 4,[5],12:i:-",Low,Stable,2012-2016,64,3,2,8
Salmonella,"Chicken_I 4,[5],12:i:-_2017-2021",Chicken,2021,"I 4,[5],12:i:-",Low,Stable,2017-2021,39,3,2,8
Salmonella,Chicken_Thompson_2012-2016,Chicken,2021,Thompson,Low,Decreased,2012-2016,140,3,3,9
Salmonella,Chicken_Thompson_2017-2021,Chicken,2021,Thompson,Low,Decreased,2017-2021,15,3,3,9
Salmonella,Chicken_Paratyphi B_2012-2016,Chicken,2021,Paratyphi B,Low,Increased,2012-2016,0,3,1,7
Salmonella,Chicken_Paratyphi B_2017-2021,Chicken,2021,Paratyphi B,Low,Increased,2017-2021,7,3,1,7
Salmonella,Chicken_Anatum_2012-2016,Chicken,2021,Anatum,Low,Increased,2012-2016,0,3,1,7
Salmonella,Chicken_Anatum_2017-2021,Chicken,2021,Anatum,Low,Increased,2017-2021,4,3,1,7
Salmonella,Chicken_Carmel_2012-2016,Chicken,2021,Carmel,Low,Decreased,2012-2016,33,3,3,9
Salmonella,Chicken_Carmel_2017-2021,Chicken,2021,Carmel,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Chicken_Derby_2012-2016,Chicken,2021,Derby,Low,Decreased,2012-2016,3,3,3,9
Salmonella,Chicken_Derby_2017-2021,Chicken,2021,Derby,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Chicken_Javiana_2012-2016,Chicken,2021,Javiana,Low,Decreased,2012-2016,45,3,3,9
Salmonella,Chicken_Javiana_2017-2021,Chicken,2021,Javiana,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Chicken_Montevideo_2012-2016,Chicken,2021,Montevideo,Low,Decreased,2012-2016,5,3,3,9
Salmonella,Chicken_Montevideo_2017-2021,Chicken,2021,Montevideo,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Chicken_Muenchen_2012-2016,Chicken,2021,Muenchen,Low,Decreased,2012-2016,5,3,3,9
Salmonella,Chicken_Muenchen_2017-2021,Chicken,2021,Muenchen,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Chicken_Newport_2012-2016,Chicken,2021,Newport,Low,Decreased,2012-2016,8,3,3,9
Salmonella,Chicken_Newport_2017-2021,Chicken,2021,Newport,Low,Decreased,2017-2021,0,3,3,9
Salmonella,Chicken_Norwich_2012-2016,Chicken,2021,Norwich,Low,Decreased,2012-2016,10,3,3,9
Salmonella,Chicken_Norwich_2017-2021,Chicken,2021,Norwich,Low,Decreased,2017-2021,0,3,3,9
